_,Starting chaos monkey,2024-11-20 20:59:23_255
site_9,Changing board state to Standby_active,2024-11-20 20:59:23_371
site_3,Changing board state to Standby_active,2024-11-20 20:59:30_407
site_6,Changing board state to Standby_active,2024-11-20 20:59:33_006
site_8,Changing board state to Standby_active,2024-11-20 20:59:35_934
site_10,Changing voltage for AHTNJ24CS44VNBRY from site_10 to set_normal_voltage,2024-11-20 20:59:38_432
site_5,Changing board state to Standby_active,2024-11-20 20:59:44_606
site_2,Changing board state to Standby_active,2024-11-20 20:59:49_101
site_5,Changing board state to Standby_failed,2024-11-20 21:00:01_580
site_9,Changing board state to Standby_failed,2024-11-20 21:00:01_946
site_9,Changing board state to Standby_active,2024-11-20 21:00:02_783
site_10,Changing voltage for R428K2UCP04QYJ3E from site_10 to set_high_voltage,2024-11-20 21:00:04_620
site_9,Changing board state to Standby_failed,2024-11-20 21:00:08_108
site_1,Changing board state to Standby_active,2024-11-20 21:00:15_004
site_5,Changing voltage for FZUQP5RHLSZ7B894 from site_5 to set_high_voltage,2024-11-20 21:00:17_057
site_5,Changing voltage for H9JS4C6SBQFOQ98A from site_5 to set_normal_voltage,2024-11-20 21:00:20_148
site_7,Changing board state to Standby_active,2024-11-20 21:00:22_385
site_2,Changing board state to Standby_failed,2024-11-20 21:00:27_472
site_1,Changing board state to Standby_failed,2024-11-20 21:00:27_632
site_5,Changing voltage for 3C1VJAH26GAXV1DC from site_5 to set_high_voltage,2024-11-20 21:00:32_246
site_3,Changing voltage for AMVSAFUR96D75KHX from site_3 to set_high_voltage,2024-11-20 21:00:35_655
site_8,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:00:46_783
site_8,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:00:58_008
site_9,Changing board state to Standby_active,2024-11-20 21:00:59_490
site_2,Changing board state to Standby_active,2024-11-20 21:01:05_980
site_9,Changing board state to Standby_failed,2024-11-20 21:01:16_471
site_8,Changing board state to Standby_active,2024-11-20 21:01:19_261
site_1,Changing board state to Standby_active,2024-11-20 21:01:25_399
site_9,Changing board state to Standby_active,2024-11-20 21:01:30_777
site_6,Changing board state to Standby_failed,2024-11-20 21:01:33_548
site_10,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:01:46_124
site_10,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:01:55_691
site_10,Changing voltage for PP8V0VIGADM3NU6W from site_10 to set_high_voltage,2024-11-20 21:02:01_550
site_6,Changing board state to Standby_active,2024-11-20 21:02:01_975
site_5,Changing voltage for 3C1VJAH26GAXV1DC from site_5 to set_low_voltage,2024-11-20 21:02:06_028
site_6,Changing board state to Standby_failed,2024-11-20 21:02:07_255
site_10,Changing board state to Standby_active,2024-11-20 21:02:11_037
site_4,Changing board state to Standby_active,2024-11-20 21:02:11_923
site_9,Changing board state to Standby_failed,2024-11-20 21:02:17_429
site_5,Changing board state to Standby_active,2024-11-20 21:02:20_289
site_9,Changing board state to Standby_active,2024-11-20 21:02:24_607
site_8,Changing board state to Standby_failed,2024-11-20 21:02:31_273
site_6,Changing board state to Standby_active,2024-11-20 21:02:33_432
site_7,Changing voltage for 9S5LN5DKMJAFPJ75 from site_7 to set_high_voltage,2024-11-20 21:02:35_651
site_3,Changing board state to Standby_failed,2024-11-20 21:02:37_113
site_5,Changing board state to Standby_failed,2024-11-20 21:02:38_545
site_8,Changing board state to Standby_active,2024-11-20 21:02:40_283
site_7,Changing board state to Standby_failed,2024-11-20 21:02:41_332
site_10,Changing voltage for GDVL4RQKYBRQETXY from site_10 to set_low_voltage,2024-11-20 21:02:56_519
site_7,Changing board state to Standby_active,2024-11-20 21:02:59_616
site_3,Changing voltage for N9YVLQQE29WBE3MV from site_3 to set_low_voltage,2024-11-20 21:03:04_981
site_1,Changing voltage for OUJ1UUSVQ3HF4MLG from site_1 to set_normal_voltage,2024-11-20 21:03:06_657
site_6,Changing voltage for IEZ92QYWQGWR3G5C from site_6 to set_high_voltage,2024-11-20 21:03:07_599
site_1,Changing board state to Standby_failed,2024-11-20 21:03:10_680
site_10,Changing voltage for 49B6J0R3X58NVIT1 from site_10 to set_low_voltage,2024-11-20 21:03:17_254
site_3,Changing board state to Standby_active,2024-11-20 21:03:36_523
site_4,Changing board state to Standby_failed,2024-11-20 21:03:39_763
site_2,Changing board state to Standby_failed,2024-11-20 21:03:40_240
site_7,Changing board state to Standby_failed,2024-11-20 21:03:41_555
site_6,Changing voltage for 92AD02GPGAG903YF from site_6 to set_high_voltage,2024-11-20 21:03:43_797
site_9,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:04:02_436
site_9,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:04:18_841
site_2,Changing voltage for 0QVZW1B24Z4C2B0U from site_2 to set_normal_voltage,2024-11-20 21:04:20_842
site_7,Changing voltage for YX4G0WGMC5BNBKFQ from site_7 to set_normal_voltage,2024-11-20 21:04:24_163
site_9,Changing board state to Standby_active,2024-11-20 21:04:30_574
site_10,Changing board state to Standby_failed,2024-11-20 21:04:33_727
site_6,Changing voltage for 3VRMUZJ0Y1EFQHLD from site_6 to set_high_voltage,2024-11-20 21:04:36_608
site_1,Changing voltage for HIHZZJWM68XU3ZKM from site_1 to set_high_voltage,2024-11-20 21:04:38_534
site_1,Changing voltage for Y1RQA1ZTAKRYS604 from site_1 to set_low_voltage,2024-11-20 21:04:41_051
site_7,Changing board state to Standby_active,2024-11-20 21:04:41_794
site_7,Changing voltage for 0QVZW1B24Z4C2B0U from site_7 to set_normal_voltage,2024-11-20 21:04:43_560
site_7,Changing voltage for JSB1VKBLUEX6UZOE from site_7 to set_high_voltage,2024-11-20 21:04:50_309
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:05:11_584
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 21:05:27_753
site_7,Changing voltage for 370EROL6BFLA6XBP from site_7 to set_low_voltage,2024-11-20 21:05:31_386
site_7,Changing voltage for HM7MUPO1JEU6HQVK from site_7 to set_low_voltage,2024-11-20 21:05:34_490
site_3,Changing board state to Standby_failed,2024-11-20 21:05:42_552
site_6,Changing board state to Standby_failed,2024-11-20 21:05:50_547
site_3,Changing board state to Standby_active,2024-11-20 21:05:51_622
site_9,Changing voltage for 58Y4NAJQUSF1P0YI from site_9 to set_normal_voltage,2024-11-20 21:05:53_151
site_3,Changing board state to Standby_failed,2024-11-20 21:05:54_517
site_10,Changing board state to Standby_active,2024-11-20 21:05:58_080
site_4,Changing board state to Standby_active,2024-11-20 21:06:00_719
site_3,Changing board state to Standby_active,2024-11-20 21:06:04_145
site_7,Changing voltage for L6C35WI3G1E8ORSJ from site_7 to set_low_voltage,2024-11-20 21:06:11_137
site_5,Changing voltage for YV32CC2QMTJBNIDH from site_5 to set_low_voltage,2024-11-20 21:06:12_733
