_,Starting chaos monkey,2024-11-19 14:57:38_747
site_5,Changing voltage for L38ZL0YFWY3WJYFM from site_5 to set_high_voltage,2024-11-19 14:57:51_696
site_3,Changing voltage for XI6SGK5MGCKO0C03 from site_3 to set_high_voltage,2024-11-19 14:57:54_836
site_5,Changing board state to Standby_active,2024-11-19 14:57:58_409
site_4,Changing voltage for ABKJ9KEDWMN7FEX8 from site_4 to set_high_voltage,2024-11-19 14:58:01_069
site_5,Changing board state to Standby_failed,2024-11-19 14:58:03_033
site_2,Changing board state to Standby_active,2024-11-19 14:58:07_696
site_5,Changing board state to Standby_active,2024-11-19 14:58:09_793
site_2,Changing board state to Standby_failed,2024-11-19 14:58:12_786
site_3,Changing board state to Standby_active,2024-11-19 14:58:15_652
site_5,Changing board state to Standby_failed,2024-11-19 14:58:20_977
site_6,Changing board state to Standby_active,2024-11-19 14:58:23_144
site_5,Changing voltage for 2WD2CHO0FE2NIQI6 from site_5 to set_normal_voltage,2024-11-19 14:58:28_466
site_5,Changing board state to Standby_active,2024-11-19 14:58:29_968
site_4,Changing voltage for PHO3PFUX98152DSS from site_4 to set_high_voltage,2024-11-19 14:58:32_529
site_3,Changing board state to Standby_failed,2024-11-19 14:58:39_220
site_4,Changing voltage for GUWJ1YVP2ZC0N1W1 from site_4 to set_normal_voltage,2024-11-19 14:58:53_805
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 14:59:08_759
site_2,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 14:59:22_237
site_2,Changing board state to Standby_active,2024-11-19 14:59:30_119
site_1,Changing voltage for 1JI2FE5JBN4RVX2J from site_1 to set_high_voltage,2024-11-19 14:59:54_887
site_4,Changing board state to Standby_active,2024-11-19 14:59:59_370
site_6,Changing voltage for IXILM8MC8OPTBXAX from site_6 to set_normal_voltage,2024-11-19 15:00:06_669
site_6,Changing board state to Standby_failed,2024-11-19 15:00:12_755
site_3,Changing board state to Standby_active,2024-11-19 15:00:17_538
site_3,Changing board state to Standby_failed,2024-11-19 15:00:21_446
site_4,Changing voltage for HZ8RVCDRYA4G6YXC from site_4 to set_normal_voltage,2024-11-19 15:00:41_148
site_6,Changing board state to Standby_active,2024-11-19 15:00:48_612
site_1,Changing voltage for HIJBP5A1FUE41NVR from site_1 to set_low_voltage,2024-11-19 15:00:51_238
site_4,Changing voltage for Z0XVVJ3528HGWGF8 from site_4 to set_normal_voltage,2024-11-19 15:00:57_638
site_5,Changing voltage for QMRIUEU9APOWAI4V from site_5 to set_normal_voltage,2024-11-19 15:01:01_196
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:01:15_526
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:01:25_321
site_6,Changing board state to Standby_failed,2024-11-19 15:01:28_252
site_6,Changing voltage for JU08LX2KFXT58PMM from site_6 to set_high_voltage,2024-11-19 15:01:34_833
site_1,Changing voltage for WFOGJZVYGZHQOD8B from site_1 to set_high_voltage,2024-11-19 15:01:37_545
site_3,Changing board state to Standby_active,2024-11-19 15:01:38_611
site_1,Changing voltage for XI6SGK5MGCKO0C03 from site_1 to set_low_voltage,2024-11-19 15:01:41_038
site_2,Changing voltage for 3LR9NHM3DD2VEIPJ from site_2 to set_high_voltage,2024-11-19 15:01:51_873
site_5,Changing voltage for 1MXL3CIUXTF6SL4F from site_5 to set_normal_voltage,2024-11-19 15:01:55_743
site_4,Changing board state to Standby_failed,2024-11-19 15:01:59_637
site_6,Changing board state to Standby_active,2024-11-19 15:02:02_121
site_4,Changing voltage for R1G3BFUNV0ACVW8U from site_4 to set_normal_voltage,2024-11-19 15:02:08_136
site_6,Changing voltage for VSNOX4XN2F119TLF from site_6 to set_normal_voltage,2024-11-19 15:02:13_762
site_6,Changing board state to Standby_failed,2024-11-19 15:02:15_552
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:02:27_277
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:02:42_810
site_3,Changing board state to Standby_failed,2024-11-19 15:02:52_517
site_5,Changing board state to Standby_failed,2024-11-19 15:02:55_362
site_3,Changing voltage for 2XM257RI6FRLACLW from site_3 to set_normal_voltage,2024-11-19 15:03:00_078
site_6,Changing board state to Standby_active,2024-11-19 15:03:00_611
site_1,Changing voltage for 0QBEA55Z167M1QCD from site_1 to set_high_voltage,2024-11-19 15:03:22_951
site_6,Changing board state to Standby_failed,2024-11-19 15:03:37_605
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:03:53_430
site_2,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:04:01_899
site_4,Changing board state to Standby_active,2024-11-19 15:04:09_631
site_1,Changing voltage for CU0O1DT8GC1VVJ63 from site_1 to set_high_voltage,2024-11-19 15:04:16_482
site_6,Changing board state to Standby_active,2024-11-19 15:04:27_016
site_2,Changing voltage for VIR006AEXATFC1RN from site_2 to set_low_voltage,2024-11-19 15:04:27_544
site_1,Changing voltage for K11YSQ5WYZKLL4YO from site_1 to set_normal_voltage,2024-11-19 15:04:28_975
site_6,Changing voltage for FF61OS7A1TD4OLDZ from site_6 to set_low_voltage,2024-11-19 15:04:35_986
site_6,Changing board state to Standby_failed,2024-11-19 15:04:39_768
site_1,Changing board state to Standby_active,2024-11-19 15:04:55_096
site_5,Changing board state to Standby_active,2024-11-19 15:04:58_362
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:05:05_618
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:05:12_558
site_5,Changing board state to Standby_failed,2024-11-19 15:05:14_911
site_4,Changing board state to Standby_active,2024-11-19 15:05:19_348
site_3,Changing board state to Standby_active,2024-11-19 15:05:24_401
site_3,Changing voltage for ETNEDM56XGJ5BFME from site_3 to set_normal_voltage,2024-11-19 15:05:26_477
site_2,Changing board state to Standby_active,2024-11-19 15:05:27_692
site_2,Changing board state to Standby_failed,2024-11-19 15:05:35_012
site_2,Changing voltage for ESCG3I27BJHK671G from site_2 to set_high_voltage,2024-11-19 15:05:40_531
site_5,Changing voltage for 10S9C6N9VCKMSPXC from site_5 to set_high_voltage,2024-11-19 15:05:44_277
site_2,Changing board state to Standby_active,2024-11-19 15:05:47_122
site_5,Changing voltage for JUHOO0QUU4U90K1B from site_5 to set_low_voltage,2024-11-19 15:05:52_622
site_6,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:06:13_180
site_6,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 15:06:27_523
site_4,Changing board state to Standby_failed,2024-11-19 15:06:39_701
site_4,Changing board state to Standby_active,2024-11-19 15:06:46_625
site_1,Changing voltage for 60II3B6E0Y79YDKV from site_1 to set_normal_voltage,2024-11-19 15:06:52_143
site_6,Changing board state to Standby_active,2024-11-19 15:06:53_562
site_2,Changing voltage for QMRIUEU9APOWAI4V from site_2 to set_normal_voltage,2024-11-19 15:07:03_142
site_4,Changing voltage for VLDL8R9MLBDXZGFD from site_4 to set_normal_voltage,2024-11-19 15:07:08_069
site_2,Changing voltage for 05NAESQN6IHL15XZ from site_2 to set_high_voltage,2024-11-19 15:07:14_841
site_1,Changing voltage for 31UZELURHMCW7Q62 from site_1 to set_normal_voltage,2024-11-19 15:07:15_696
site_1,Changing voltage for FR9BDZ4J7LQ683GV from site_1 to set_normal_voltage,2024-11-19 15:07:21_618
site_1,Changing voltage for D7F90VXRVQHZGKWI from site_1 to set_normal_voltage,2024-11-19 15:07:39_166
site_2,Changing board state to Standby_failed,2024-11-19 15:07:40_924
site_1,Changing board state to Standby_failed,2024-11-19 15:07:44_276
site_5,Changing voltage for PXYX2QYK2CPBU8H9 from site_5 to set_normal_voltage,2024-11-19 15:07:47_238
site_2,Changing board state to Standby_active,2024-11-19 15:07:50_409
site_5,Changing voltage for DXXKS2LA55OLOXPJ from site_5 to set_normal_voltage,2024-11-19 15:07:55_556
site_6,Changing board state to Standby_failed,2024-11-19 15:08:16_227
site_5,Changing voltage for HDCZXNT04YTP3ZAE from site_5 to set_high_voltage,2024-11-19 15:08:21_774
site_1,Changing voltage for DV638SF4FHS1NK44 from site_1 to set_normal_voltage,2024-11-19 15:08:52_354
site_6,Changing board state to Standby_active,2024-11-19 15:08:58_647
site_4,Changing voltage for O588HN83ZC5FOD66 from site_4 to set_normal_voltage,2024-11-19 15:09:01_325
site_3,Changing board state to Standby_failed,2024-11-19 15:09:02_332
site_1,Changing board state to Standby_active,2024-11-19 15:09:11_515
site_2,Changing board state to Standby_failed,2024-11-19 15:09:16_011
site_5,Changing voltage for I86PNM4QN1FN0BCW from site_5 to set_high_voltage,2024-11-19 15:09:20_572
site_6,Changing board state to Standby_failed,2024-11-19 15:09:28_001
site_5,Changing board state to Standby_active,2024-11-19 15:09:30_139
site_1,Changing board state to Standby_failed,2024-11-19 15:09:37_838
site_3,Changing board state to Standby_active,2024-11-19 15:09:44_088
site_4,Changing voltage for DIRF87KMCDSFK8Y7 from site_4 to set_normal_voltage,2024-11-19 15:09:57_707
site_5,Changing voltage for Z0XVVJ3528HGWGF8 from site_5 to set_normal_voltage,2024-11-19 15:10:00_390
site_5,Changing voltage for VDPA8HMYO46FD7P5 from site_5 to set_high_voltage,2024-11-19 15:10:01_143
site_3,Changing board state to Standby_failed,2024-11-19 15:10:06_901
