_,Starting chaos monkey,2024-11-20 09:45:32_770
site_6,Changing voltage for ATJQ0J439JNYG8KD from site_6 to set_low_voltage,2024-11-20 09:45:34_183
site_4,Changing voltage for IG7C29XZBSI9IVGB from site_4 to set_normal_voltage,2024-11-20 09:45:38_021
site_3,Changing voltage for WZKOW60XB9N87U4C from site_3 to set_high_voltage,2024-11-20 09:45:43_136
site_2,Changing voltage for VETMQ35WXD9GDUDV from site_2 to set_high_voltage,2024-11-20 09:45:47_051
site_8,Changing board state to Standby_active,2024-11-20 09:45:50_645
site_5,Changing board state to Standby_active,2024-11-20 09:45:52_390
site_3,Changing board state to Standby_active,2024-11-20 09:45:54_298
site_5,Changing board state to Standby_failed,2024-11-20 09:45:55_544
site_4,Changing voltage for QPLVPXG5UAWCBIHP from site_4 to set_low_voltage,2024-11-20 09:45:59_614
site_6,Changing board state to Standby_active,2024-11-20 09:46:02_237
site_6,Changing board state to Standby_failed,2024-11-20 09:46:08_785
site_1,Changing voltage for W1QDXCPKUF1D5O1U from site_1 to set_normal_voltage,2024-11-20 09:46:10_296
site_3,Changing voltage for WGDCO24B3DN5YEWU from site_3 to set_high_voltage,2024-11-20 09:46:12_521
site_8,Changing voltage for VSK0G5Z4Q590UHF9 from site_8 to set_high_voltage,2024-11-20 09:46:19_115
site_8,Changing voltage for 8OC4VNDO7ZD4E8UJ from site_8 to set_normal_voltage,2024-11-20 09:46:21_048
site_4,Changing board state to Standby_active,2024-11-20 09:46:21_649
site_5,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:46:33_244
site_5,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:46:42_236
site_2,Changing voltage for 5QEPL5WB2FSCYPT9 from site_2 to set_low_voltage,2024-11-20 09:46:44_332
site_4,Changing board state to Standby_failed,2024-11-20 09:46:55_812
site_2,Changing voltage for RZE2SP68R7Y1NKCB from site_2 to set_normal_voltage,2024-11-20 09:46:58_043
site_7,Changing board state to Standby_active,2024-11-20 09:46:58_441
site_4,Changing voltage for UJB2W4MYAYQK05NZ from site_4 to set_high_voltage,2024-11-20 09:47:00_055
site_4,Changing board state to Standby_active,2024-11-20 09:47:02_887
site_6,Changing voltage for PXMS6G3OI9NS0SMJ from site_6 to set_normal_voltage,2024-11-20 09:47:04_722
site_1,Changing board state to Standby_active,2024-11-20 09:47:11_582
site_3,Changing board state to Standby_failed,2024-11-20 09:47:11_909
site_6,Changing board state to Standby_active,2024-11-20 09:47:12_469
site_3,Changing board state to Standby_active,2024-11-20 09:47:14_394
site_6,Changing voltage for N9MYNZAX1BJJIWO3 from site_6 to set_low_voltage,2024-11-20 09:47:18_251
site_6,Changing voltage for UTQFVF1RAOA1PQHP from site_6 to set_normal_voltage,2024-11-20 09:47:18_629
site_2,Changing board state to Standby_active,2024-11-20 09:47:19_513
site_8,Changing board state to Standby_failed,2024-11-20 09:47:22_909
site_1,Changing board state to Standby_failed,2024-11-20 09:47:25_763
site_6,Changing voltage for HEIYORNJ2EFUIISS from site_6 to set_normal_voltage,2024-11-20 09:47:35_399
site_5,Changing board state to Standby_active,2024-11-20 09:47:37_005
site_3,Changing board state to Standby_failed,2024-11-20 09:47:39_694
site_6,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:47:51_777
site_6,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:48:05_014
site_3,Changing board state to Standby_active,2024-11-20 09:48:09_440
site_4,Changing voltage for QOISHEMLFTTF4XY7 from site_4 to set_low_voltage,2024-11-20 09:48:14_156
site_4,Changing voltage for H4I3VKV86O08XJSF from site_4 to set_low_voltage,2024-11-20 09:48:16_420
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:48:36_609
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:48:52_660
site_5,Changing voltage for XLO8GAXGURDAJFBB from site_5 to set_low_voltage,2024-11-20 09:48:53_572
site_7,Changing voltage for UJB2W4MYAYQK05NZ from site_7 to set_high_voltage,2024-11-20 09:48:59_920
site_1,Changing voltage for 1HR46F1E0M0J50H7 from site_1 to set_high_voltage,2024-11-20 09:49:11_958
site_1,Changing board state to Standby_active,2024-11-20 09:49:18_621
site_8,Changing voltage for DPMJFH1DZ3VN6SCI from site_8 to set_normal_voltage,2024-11-20 09:49:22_679
site_3,Changing voltage for SU8IGP7R53CRQIKI from site_3 to set_normal_voltage,2024-11-20 09:49:27_342
site_7,Changing voltage for XLO8GAXGURDAJFBB from site_7 to set_high_voltage,2024-11-20 09:49:34_187
site_2,Changing voltage for 9RWZKUK4N9QA6VIE from site_2 to set_high_voltage,2024-11-20 09:49:35_474
site_6,Changing board state to Standby_active,2024-11-20 09:49:39_731
site_1,Changing voltage for EQYQAEK7DX1392ZC from site_1 to set_low_voltage,2024-11-20 09:49:40_808
site_4,Changing voltage for 6N4BE3LUC3TXLDRT from site_4 to set_low_voltage,2024-11-20 09:49:44_437
site_3,Changing voltage for BUNR1IXXQRR396F6 from site_3 to set_normal_voltage,2024-11-20 09:50:00_861
site_6,Changing board state to Standby_failed,2024-11-20 09:50:03_121
site_7,Changing board state to Standby_failed,2024-11-20 09:50:04_754
site_1,Changing voltage for VSV7U3DWMYS7ADSL from site_1 to set_high_voltage,2024-11-20 09:50:09_032
site_7,Changing board state to Standby_active,2024-11-20 09:50:10_859
site_1,Changing voltage for QG6D96MC6LTULLGW from site_1 to set_normal_voltage,2024-11-20 09:50:11_348
site_2,Changing board state to Standby_failed,2024-11-20 09:50:14_181
site_4,Changing board state to Standby_failed,2024-11-20 09:50:14_935
site_1,Changing board state to Standby_failed,2024-11-20 09:50:18_126
site_6,Changing voltage for 039QZI6OWHAOMLOC from site_6 to set_high_voltage,2024-11-20 09:50:31_003
site_7,Changing voltage for ATWCPFXF1NLREALD from site_7 to set_normal_voltage,2024-11-20 09:50:35_321
site_1,Changing voltage for N9MYNZAX1BJJIWO3 from site_1 to set_high_voltage,2024-11-20 09:50:37_164
site_2,Changing board state to Standby_active,2024-11-20 09:50:47_888
site_5,Changing voltage for HEIYORNJ2EFUIISS from site_5 to set_normal_voltage,2024-11-20 09:50:49_877
site_6,Changing board state to Standby_active,2024-11-20 09:50:51_794
site_2,Changing voltage for VCSO7HWJXJN1EZOF from site_2 to set_normal_voltage,2024-11-20 09:51:03_407
site_6,Changing board state to Standby_failed,2024-11-20 09:51:04_917
site_7,Changing board state to Standby_failed,2024-11-20 09:51:06_300
site_2,Changing board state to Standby_failed,2024-11-20 09:51:09_228
site_3,Changing voltage for UTQFVF1RAOA1PQHP from site_3 to set_normal_voltage,2024-11-20 09:51:10_073
site_6,Changing voltage for 8UNVEJ7P2RO5D9FA from site_6 to set_normal_voltage,2024-11-20 09:51:14_549
site_6,Changing board state to Standby_active,2024-11-20 09:51:16_452
site_8,Changing voltage for JU9CNI8H2I1H2662 from site_8 to set_high_voltage,2024-11-20 09:51:29_716
site_1,Changing board state to Standby_active,2024-11-20 09:51:32_697
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:51:46_074
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 09:51:57_025
site_5,Changing board state to Standby_failed,2024-11-20 09:52:04_055
site_1,Changing board state to Standby_failed,2024-11-20 09:52:07_108
site_2,Changing board state to Standby_active,2024-11-20 09:52:08_413
site_2,Changing board state to Standby_failed,2024-11-20 09:52:10_391
site_6,Changing board state to Standby_failed,2024-11-20 09:52:16_331
site_3,Changing voltage for 9GG3DISSVV1BQZZP from site_3 to set_normal_voltage,2024-11-20 09:52:23_258
site_1,Changing board state to Standby_active,2024-11-20 09:52:26_496
site_5,Changing board state to Standby_active,2024-11-20 09:52:32_070
site_2,Changing voltage for IKMHWE6RYXGOP28C from site_2 to set_low_voltage,2024-11-20 09:52:34_731
site_8,Changing voltage for IKMHWE6RYXGOP28C from site_8 to set_high_voltage,2024-11-20 09:52:35_121
